time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-093T19:58:26.971  196.155  218.122  207.138  -2.227 -21.967 
1975-093T20:05:41.673  195.970  217.915  206.942  -2.225 -21.945 
1975-093T20:12:56.376  195.784  217.710  206.747  -2.224 -21.925 
1975-093T20:20:11.077  195.599  217.505  206.552  -2.222 -21.906 
1975-093T20:27:25.779  195.414  217.300  206.357  -2.220 -21.887 
1975-093T20:34:40.482  195.206  217.070  206.138  -2.218 -21.864 
1975-093T20:41:55.183  195.022  216.866  205.944  -2.216 -21.845 
1975-093T20:49:09.885  194.789  216.614  205.702  -2.214 -21.825 
1975-093T20:56:24.589  194.607  216.410  205.509  -2.212 -21.803 
1975-093T21:03:39.290  194.400  216.183  205.291  -2.210 -21.784 
1975-093T21:10:53.994  194.194  215.955  205.075  -2.208 -21.761 
1975-093T21:18:08.695  193.986  215.731  204.858  -2.206 -21.745 
1975-093T21:25:23.399  193.781  215.504  204.642  -2.204 -21.723 
1975-093T21:32:38.101  193.599  215.303  204.451  -2.202 -21.704 
1975-093T21:39:52.804  193.395  215.077  204.236  -2.200 -21.682 
1975-093T21:47:07.508  193.239  214.899  204.069  -2.199 -21.660 
1975-093T21:54:22.210  193.009  214.653  203.831  -2.197 -21.644 
1975-093T22:01:36.914  192.830  214.452  203.641  -2.195 -21.622 
1975-093T22:08:51.618  192.649  214.252  203.451  -2.193 -21.603 
1975-093T22:16:06.322  192.469  214.054  203.262  -2.191 -21.584 
1975-093T22:23:21.024  192.195  213.759  202.977  -2.189 -21.565 
1975-093T22:30:35.728  192.066  213.607  202.837  -2.187 -21.541 
1975-093T22:37:50.432  191.840  213.361  202.601  -2.185 -21.521 
1975-093T22:45:05.134  191.685  213.188  202.437  -2.184 -21.503 
1975-093T22:52:19.839  191.483  212.967  202.225  -2.182 -21.484 
1975-093T22:59:34.543  191.282  212.747  202.015  -2.179 -21.465 
1975-093T23:06:49.247  191.081  212.528  201.804  -2.178 -21.446 
1975-093T23:14:03.951  190.882  212.307  201.594  -2.176 -21.425 
1975-093T23:21:18.654  190.708  212.108  201.408  -2.174 -21.401 
1975-093T23:28:33.358  190.506  211.891  201.199  -2.172 -21.385 
1975-093T23:35:48.062  190.285  211.649  200.967  -2.170 -21.363 
1975-093T23:43:02.767  190.089  211.428  200.759  -2.168 -21.339 
1975-093T23:50:17.471  189.868  211.188  200.528  -2.165 -21.320 
1975-094T00:04:46.879  189.478  210.750  200.114  -2.161 -21.272 
1975-094T00:12:01.583  189.234  210.487  199.860  -2.159 -21.253 
1975-094T00:19:16.288  189.040  210.269  199.654  -2.157 -21.229 
1975-094T00:26:30.993  188.843  210.054  199.448  -2.155 -21.211 
1975-094T00:33:45.699  188.626  209.815  199.220  -2.153 -21.189 
1975-094T00:41:00.403  188.409  209.577  198.993  -2.151 -21.168 
1975-094T00:48:15.108  188.173  209.314  198.744  -2.148 -21.141 
1975-094T00:55:29.813  188.000  209.123  198.562  -2.147 -21.123 
